start	filename	destination	result
	/cos1sgw1_20220831165545_17060.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831165545_17060.xml.gz	true
	/cos1sgw1_20220831171012_17061.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831171012_17061.xml.gz	true
	/cos1sgw1_20220831171045_17062.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831171045_17062.xml.gz	true
	/cos1sgw1_20220831172512_17063.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831172512_17063.xml.gz	true
	/cos1sgw1_20220831172545_17064.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831172545_17064.xml.gz	true
	/cos1sgw1_20220831174012_17065.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831174012_17065.xml.gz	true
	/cos1sgw1_20220831174045_17066.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831174045_17066.xml.gz	true
	/cos1sgw1_20220831175512_17067.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831175512_17067.xml.gz	true
	/cos1sgw1_20220831175545_17068.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831175545_17068.xml.gz	true
	/cos1sgw1_20220831181012_17069.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831181012_17069.xml.gz	true
	/cos1sgw1_20220831181045_17070.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831181045_17070.xml.gz	true
	/cos1sgw1_20220831182512_17071.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831182512_17071.xml.gz	true
	/cos1sgw1_20220831182545_17072.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831182545_17072.xml.gz	true
	/cos1sgw1_20220831184012_17073.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831184012_17073.xml.gz	true
	/cos1sgw1_20220831184045_17074.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831184045_17074.xml.gz	true
	/cos1sgw1_20220831185512_17075.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831185512_17075.xml.gz	true
	/cos1sgw1_20220831185545_17076.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831185545_17076.xml.gz	true
	/cos1sgw1_20220831191012_17077.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831191012_17077.xml.gz	true
	/cos1sgw1_20220831191045_17078.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831191045_17078.xml.gz	true
	/cos1sgw1_20220831192512_17079.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831192512_17079.xml.gz	true
	/cos1sgw1_20220831192545_17080.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831192545_17080.xml.gz	true
	/cos1sgw1_20220831194012_17081.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831194012_17081.xml.gz	true
	/cos1sgw1_20220831194045_17082.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831194045_17082.xml.gz	true
	/cos1sgw1_20220831195512_17083.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831195512_17083.xml.gz	true
	/cos1sgw1_20220831195545_17084.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831195545_17084.xml.gz	true
	/cos1sgw1_20220831201012_17085.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831201012_17085.xml.gz	true
	/cos1sgw1_20220831201045_17086.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831201045_17086.xml.gz	true
	/cos1sgw1_20220831202512_17087.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831202512_17087.xml.gz	true
	/cos1sgw1_20220831202545_17088.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831202545_17088.xml.gz	true
	/cos1sgw1_20220831204012_17089.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831204012_17089.xml.gz	true
	/cos1sgw1_20220831204045_17090.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831204045_17090.xml.gz	true
	/cos1sgw1_20220831205512_17091.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831205512_17091.xml.gz	true
	/cos1sgw1_20220831205545_17092.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831205545_17092.xml.gz	true
	/cos1sgw1_20220831211012_17093.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831211012_17093.xml.gz	true
	/cos1sgw1_20220831211045_17094.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831211045_17094.xml.gz	true
	/cos1sgw1_20220831212512_17095.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831212512_17095.xml.gz	true
	/cos1sgw1_20220831212545_17096.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831212545_17096.xml.gz	true
	/cos1sgw1_20220831214012_17097.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831214012_17097.xml.gz	true
	/cos1sgw1_20220831214045_17098.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831214045_17098.xml.gz	true
	/cos1sgw1_20220831215512_17099.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831215512_17099.xml.gz	true
	/cos1sgw1_20220831215545_17100.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831215545_17100.xml.gz	true
	/cos1sgw1_20220831221012_17101.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831221012_17101.xml.gz	true
	/cos1sgw1_20220831221045_17102.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831221045_17102.xml.gz	true
	/cos1sgw1_20220831222512_17103.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831222512_17103.xml.gz	true
	/cos1sgw1_20220831222545_17104.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831222545_17104.xml.gz	true
	/cos1sgw1_20220831224012_17105.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831224012_17105.xml.gz	true
	/cos1sgw1_20220831224045_17106.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831224045_17106.xml.gz	true
	/cos1sgw1_20220831225512_17107.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831225512_17107.xml.gz	true
	/cos1sgw1_20220831225545_17108.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831225545_17108.xml.gz	true
	/cos1sgw1_20220831231012_17109.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831231012_17109.xml.gz	true
	/cos1sgw1_20220831231045_17110.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831231045_17110.xml.gz	true
	/cos1sgw1_20220831232512_17111.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831232512_17111.xml.gz	true
	/cos1sgw1_20220831232545_17112.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831232545_17112.xml.gz	true
	/cos1sgw1_20220831234012_17113.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831234012_17113.xml.gz	true
	/cos1sgw1_20220831234045_17114.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831234045_17114.xml.gz	true
	/cos1sgw1_20220831235512_17115.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831235512_17115.xml.gz	true
	/cos1sgw1_20220831235545_17116.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220831235545_17116.xml.gz	true
	/cos1sgw1_20220901001012_17117.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901001012_17117.xml.gz	true
	/cos1sgw1_20220901001045_17118.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901001045_17118.xml.gz	true
	/cos1sgw1_20220901002512_17119.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901002512_17119.xml.gz	true
	/cos1sgw1_20220901002545_17120.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901002545_17120.xml.gz	true
	/cos1sgw1_20220901004012_17121.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901004012_17121.xml.gz	true
	/cos1sgw1_20220901004045_17122.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901004045_17122.xml.gz	true
	/cos1sgw1_20220901005512_17123.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901005512_17123.xml.gz	true
	/cos1sgw1_20220901005545_17124.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901005545_17124.xml.gz	true
	/cos1sgw1_20220901011012_17125.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901011012_17125.xml.gz	true
	/cos1sgw1_20220901011045_17126.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901011045_17126.xml.gz	true
	/cos1sgw1_20220901012512_17127.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901012512_17127.xml.gz	true
	/cos1sgw1_20220901012545_17128.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901012545_17128.xml.gz	true
	/cos1sgw1_20220901014012_17129.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901014012_17129.xml.gz	true
	/cos1sgw1_20220901014045_17130.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901014045_17130.xml.gz	true
	/cos1sgw1_20220901015512_17131.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901015512_17131.xml.gz	true
	/cos1sgw1_20220901015545_17132.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901015545_17132.xml.gz	true
	/cos1sgw1_20220901021012_17133.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901021012_17133.xml.gz	true
	/cos1sgw1_20220901021045_17134.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901021045_17134.xml.gz	true
	/cos1sgw1_20220901022512_17135.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901022512_17135.xml.gz	true
	/cos1sgw1_20220901022545_17136.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901022545_17136.xml.gz	true
	/cos1sgw1_20220901024012_17137.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901024012_17137.xml.gz	true
	/cos1sgw1_20220901024045_17138.xml.gz	V:\Sisula\sftp\gz\cos1sgw1_20220901024045_17138.xml.gz	true
